ID,Date,S&P Change (close - open),S&P Open,S&P High,S&P Low,S&P Close,NYC Temp (high),NYC Temp (avg),NYC Temp (low),Avg Visibility (mi),NYC Wind (avg),NYC Wind (low),NYC Wind (high),NYC Precip (in),NYC Wx Events
197,8/31/17,9,2462.649902,2475.01001,2462.649902,2471.649902,81,73,64,10,14,4,23,0,
198,9/1/17,2.13,2474.419922,2480.379883,2473.850098,2476.550049,71,63,55,10,10,5,19,0,
199,9/5/17,-12.5,2470.350098,2471.969971,2446.550049,2457.850098,85,77,69,9,15,3,25,0,
200,9/6/17,1.71,2463.830078,2469.639893,2459.199951,2465.540039,72,67,61,6,14,4,22,0.42,Rain
201,9/7/17,-2.96,2468.060059,2468.620117,2460.290039,2465.100098,71,65,59,8,14,5,26,0.01,Rain
202,9/8/17,-0.82,2462.25,2467.110107,2459.399902,2461.429932,71,65,58,10,13,4,22,0,
203,9/11/17,13.59,2474.52002,2488.949951,2474.52002,2488.110107,76,66,55,10,9,2,12,0,
204,9/12/17,4.54,2491.939941,2496.77002,2490.370117,2496.47998,78,69,59,10,8,1,15,0,
205,9/13/17,4.48,2493.889893,2498.370117,2492.139893,2498.370117,83,74,64,9,9,2,17,0.06,Rain
206,9/14/17,1.06,2494.560059,2498.429932,2491.350098,2495.620117,81,76,70,9,10,2,18,0.02,
207,9/15/17,4.56,2495.669922,2500.22998,2493.159912,2500.22998,81,74,67,10,8,2,12,0,
208,9/18/17,1.36,2502.51001,2508.320068,2499.919922,2503.870117,73,71,68,9,13,7,18,0,
209,9/19/17,0.36,2506.290039,2507.840088,2503.189941,2506.649902,78,74,69,9,21,10,29,0.22,Rain
210,9/20/17,1.4,2506.840088,2508.850098,2496.669922,2508.23999,79,75,71,10,15,6,25,0,
211,9/21/17,-6.56,2507.159912,2507.159912,2499,2500.600098,80,76,71,10,13,6,20,0,
212,9/22/17,4.96,2497.26001,2503.469971,2496.540039,2502.219971,82,74,66,10,14,7,23,0,
213,9/25/17,-2.73,2499.389893,2502.540039,2488.030029,2496.659912,88,79,70,10,9,3,14,0,
214,9/26/17,-4.2,2501.040039,2503.51001,2495.120117,2496.840088,84,76,68,10,8,2,12,0,
215,9/27/17,3.74,2503.300049,2511.75,2495.909912,2507.040039,87,78,69,10,12,4,16,0,
216,9/28/17,6.65,2503.409912,2510.810059,2502.929932,2510.060059,79,69,59,10,15,6,24,0,
217,9/29/17,9.4,2509.959961,2519.439941,2507.98999,2519.360107,68,62,55,10,9,3,15,0,
218,10/2/17,7.92,2521.199951,2529.22998,2520.399902,2529.120117,73,63,52,10,8,3,13,0,
219,10/3/17,4.24,2530.340088,2535.129883,2528.850098,2534.580078,71,64,57,10,9,3,17,0,
220,10/4/17,4.26,2533.47998,2540.530029,2531.800049,2537.73999,75,66,56,10,14,5,22,0,
221,10/5/17,11.21,2540.860107,2552.51001,2540.02002,2552.070068,83,74,65,10,14,5,23,0,Rain
222,10/6/17,1.89,2547.439941,2549.409912,2543.790039,2549.330078,82,75,68,10,10,2,16,0,
223,10/9/17,-6.66,2551.389893,2551.820068,2541.600098,2544.72998,77,74,71,6,12,5,25,0.26,Rain
224,10/10/17,0.65,2549.98999,2555.22998,2544.860107,2550.639893,81,74,66,10,9,3,16,0,
225,10/11/17,4.62,2550.620117,2555.23999,2547.949951,2555.23999,77,69,60,10,14,6,19,0.06,Rain
226,10/12/17,-1.95,2552.879883,2555.330078,2548.310059,2550.929932,64,60,55,10,18,9,27,0.07,Rain
227,10/13/17,-2.49,2555.659912,2557.649902,2552.090088,2553.169922,67,60,52,10,12,6,16,0,
228,10/16/17,2.07,2555.570068,2559.469971,2552.639893,2557.639893,69,58,46,9,13,7,20,0.01,Rain
229,10/17/17,2.19,2557.169922,2559.709961,2554.689941,2559.360107,58,50,42,10,10,4,17,0,
230,10/18/17,-1.61,2562.870117,2564.110107,2559.669922,2561.26001,72,61,50,9,10,4,16,0,
231,10/19/17,8.71,2553.389893,2562.360107,2547.919922,2562.100098,71,64,56,10,13,4,18,0,
232,10/20/17,7.65,2567.560059,2575.439941,2567.560059,2575.209961,73,65,57,10,12,4,19,0,
233,10/23/17,-13.1,2578.080078,2578.290039,2564.330078,2564.97998,74,68,61,9,7,4,-,0,
234,10/24/17,0.47,2568.659912,2572.179932,2565.580078,2569.129883,74,70,66,7,16,6,30,0.2,Rain
235,10/25/17,-9.37,2566.52002,2567.399902,2544,2557.149902,67,62,57,10,9,2,17,0,
236,10/26/17,0.32,2560.080078,2567.070068,2559.800049,2560.399902,58,56,53,10,12,6,18,0,
237,10/27/17,10.81,2570.26001,2582.97998,2565.939941,2581.070068,62,55,47,10,10,4,17,0,
238,10/30/17,-4.92,2577.75,2580.030029,2568.25,2572.830078,61,54,46,9,20,9,35,0.25,Rain
239,10/31/17,-0.73,2575.98999,2578.290039,2572.149902,2575.26001,57,51,45,10,17,6,25,0,
240,11/1/17,-3.85,2583.209961,2588.399902,2574.919922,2579.360107,59,51,43,10,10,3,16,0,
241,11/2/17,0.39,2579.459961,2581.110107,2566.169922,2579.850098,72,65,58,9,9,3,17,0,
242,11/3/17,5.91,2581.929932,2588.419922,2576.77002,2587.840088,74,63,51,10,15,6,22,0,
243,11/6/17,3.66,2587.469971,2593.379883,2585.659912,2591.129883,66,56,46,9,13,5,21,0.01,Rain
