date,accum,temp_min,temp_max,wind
5/3/2012,0,46.61,50.1,5.59
5/4/2012,0,49.65,55.92,2.96
5/7/2012,0,49.01,59.53,4.15
5/8/2012,0,50.89,57.95,9.17
5/9/2012,0,55.63,62.74,7.71
5/10/2012,0,53.12,66.04,8.35
5/11/2012,0,47.49,62.58,8.03
5/14/2012,0,55.02,64.58,2.99
5/15/2012,0,57.37,71.42,8.79
5/16/2012,0,61.63,71.84,6.76
5/17/2012,0,55.56,68.11,6.48
5/18/2012,0,50.61,63.54,4.11
9/4/2012,0,63.87,73.06,5.69
9/5/2012,0,67.03,80.1,5.67
9/6/20125,0,65.87,77.63,2.9
9/7/2012,0,67.96,79.61,4.45
9/10/2012,0,58.1,66.51,10.32
9/11/2012,0,52.56,72.5,5
9/12/2012,0,55.04,70.87,3.22
9/13/2012,0,60.86,81.58,7.73
9/14/2012,0,62.07,79.99,8.34
9/17/2012,0,53.6,68.5,2.43
9/18/2012,0,60.11,74.09,14.18
9/19/2012,0,57.64,73.72,4.79
9/20/2012,0,52.04,61.08,7.78
9/21/2012,0,51.15,61.3,5.34
9/24/2012,0,50.01,65.87,7.49
9/25/2012,0,49.48,72.01,11.68
9/26/2012,0,60.86,72.17,10.48
9/27/2012,0,55.71,66.94,1.56
9/28/2012,0,54.35,57.76,6.45
10/1/2012,0,51.22,67.55,12.59
10/2/2012,0,57.6,69.75,4.96
10/3/2012,0,60.6,62.87,4.91
10/4/2012,0,59.01,61.83,4.18
10/5/20123,0,59.86,74.04,3.6
10/9/2012,0,52.55,56.88,10.06
10/10/2012,0,52.51,61.64,3.18
10/11/2012,0,47.34,58.5,11.7
10/12/2012,0,41.47,53.11,8.56
10/15/2012,0,60.55,73.22,13.19
10/16/2012,0,46.68,63.91,11.33
10/17/2012,0,41.14,55.79,1.97
10/18/2012,0,46.12,59.79,5.62
10/19/2012,0,52.33,66.87,9.47
10/22/2012,0,51.91,66.28,10.58
10/23/2012,0,50.85,64.37,6.26
10/24/2012,0,48.52,55.46,2.79
10/25/2012,0,46.55,58.58,1.51
10/26/2012,0,48.49,65.4,5.07
10/29/2012,0,53.03,60.63,24.79
10/30/2012,0,55.38,62.58,10.92
10/31/2012,0,50,56.68,5.92
11/1/2012,0,45.9,55.81,8.2
11/2/2012,0,46.78,52.36,7.95
11/5/2012,0,33.98,43.98,9.91
11/6/2012,0,30.63,40.08,4.53
11/7/2012,0,33.13,43.4,19.29
11/8/2012,0,33.09,39.7,20.87
11/9/2012,0,38.49,52.89,12.68
11/13/2012,0,40.88,64.6,5.2
11/14/2012,0,37.17,45.48,10.33
11/15/2012,0,35.61,40.72,8.93
11/16/2012,0,36.04,44.56,6.41
11/19/2012,0,34.03,46.96,6.56
11/20/2012,0,34.77,47.27,6.34
11/21/2012,0,39.1,48.9,8.1
11/23/2012,0,37.79,50.98,7.6
11/26/2012,0,33.69,45.69,11.59
11/27/2012,0,33.65,38.01,2.83
11/28/2012,0,33.44,36.04,8.01
11/29/2012,0,32.49,42.31,11.5
11/30/2012,0,30.89,38.75,5.74
12/3/2012,0,43.39,57.11,5.92
12/4/2012,0,40.04,56.97,6.82
12/5/2012,0,36.15,57.43,10.63
12/6/2012,0,29.95,39.18,7.53
12/7/2012,0,31.29,44.29,6.35
12/10/2012,0,42.77,59.39,5.41
12/11/2012,0,36.29,56.17,8.97
12/12/2012,0,31.41,39.14,7.36
12/13/2012,0,32.54,41.14,2.53
12/14/2012,0,32.1,48.42,9.1
12/17/2012,0,37.77,44.28,10.57
12/18/2012,0,42.85,49.71,1.6
12/19/2012,0,38.34,44.61,14.37
12/20/2012,0,34.89,41.11,4.61
1/15/2013,0,35.77,42.29,6.11
1/16/2013,1.863,30.73,35.74,4.07
1/17/2013,0,31.39,42.53,8.12
1/18/2013,0,19.33,30.45,9.57
1/22/2013,0.025,16.12,25.49,12.2
1/23/2013,0,9.55,16.73,13.23
1/24/2013,0,5.28,19.72,15.61
1/25/2013,0.054,10.13,24.07,11.24
1/28/2013,1.155,21.4,30.49,2.37
1/29/2013,0.275,27.25,34.3,2.69
1/30/2013,0,33.89,60.13,13.48
1/31/2013,0,33.77,60.44,17.52
2/1/2013,0,24.76,33.63,14.85
2/4/2013,0,23.31,29.74,14.57
2/5/2013,0.172,22.9,27.1,2.33
2/6/2013,0.112,26.69,39.14,8.39
2/7/2013,0,19.56,28.3,5.53
2/8/2013,3.824,20.65,32.43,16.51
2/11/2013,0,24.74,44.15,7.04
2/12/2013,0,36.33,44.06,13.9
2/13/2013,0,31.76,41.24,4.67
2/14/2013,0,32.87,40.65,2.12
2/15/2013,0,31.2,48.49,9.67
2/19/2013,0,25.93,45.87,7.3
2/20/2013,0,28,42.89,16.27
2/21/2013,0,26.29,31.78,15.55
2/22/2013,0,26.57,36.42,5.28
2/25/2013,0,30.33,38.98,4.21
2/26/2013,0,31.85,40.29,4.75
2/27/2013,0,38.28,40.87,15.47
2/28/2013,0,34.66,43.64,3.52
3/1/2013,0,35.67,40.48,8.43
3/4/2013,0,31.14,40.12,15.55
3/5/2013,0,32.35,41.69,8.46
3/6/2013,0,36.11,38.79,18.82
3/7/2013,1.857,31.13,36.5,21.3
3/8/2013,4.196,29.22,41.82,17.65
3/11/2013,0,35.44,49.92,8.87
3/12/2013,0,41.83,54.35,11.16
3/13/2013,0,40.5,51.7,10.02
3/14/2013,0,25.2,39.33,14.25
3/15/2013,0,21.37,40.77,12.22
3/18/2013,0.047,20.86,33.55,1.68
3/19/2013,4.335,29.18,36.48,12.63
3/20/2013,0,26.91,38.81,12.94
3/21/2013,0.185,30.13,33.94,2.75
3/22/2013,0,30.03,39.51,10.25
3/25/2013,0,34.13,41.63,10.36
3/26/2013,0,34.4,47.95,8.48
3/27/2013,0,35.38,51.52,9.27
3/28/2013,0,38.24,45.21,5.63
3/29/2013,0,39.52,53.92,6.39
4/1/2013,0,38.69,59.33,8.03
4/2/2013,0,32.3,40.28,15.82
4/3/2013,0,31.78,46,17.74
4/4/2013,0,32.48,55.21,9.58
4/5/2013,0,39.2,54.97,6.45
4/8/2013,0,46.46,59.59,3.73
4/9/2013,0,46.11,69.65,2.08
4/10/2013,0,44.68,52.68,4.46
4/11/2013,0,43.4,48.63,5.1
4/12/2013,0,37.68,42.65,13.32
4/15/2013,0,38.06,48.1,2.63
4/16/2013,0,40.46,61.06,13.21
4/17/2013,0,49.38,62.63,5.29
4/18/2013,0,45.18,60.4,7.95
4/19/2013,0,52.16,71.59,14.75
4/22/2013,0,37.08,46.8,10.01
4/23/2013,0,40.5,42.64,13.25
4/24/2013,0,42.65,65.4,2.01
4/25/2013,0,49.13,62.56,6.7
4/26/2013,0,45.32,51.24,7.96
4/29/2013,0,46.66,63.96,7.47
4/30/2013,0,47.74,60.26,5.15
5/1/2013,0,47.4,58.98,3.94
5/2/2013,0,47.9,67.6,3.73
5/3/2013,0,44.13,52.13,8.61
5/6/2013,0,42.25,56.32,4.73
5/7/2013,0,49.7,70.3,5.93
5/8/2013,0,54.2,63.45,7.91
5/9/2013,0,55.74,61.76,4.03
5/10/2013,0,56.07,67.23,1.17
5/13/2013,0,46.16,58.41,10.4
5/14/2013,0,43.28,57.43,8.89
5/15/2013,0,44.91,63.29,8.68
5/16/2013,0,53.97,80.41,11.34
5/17/2013,0,54.01,66.38,5.65
5/20/2013,0,55.48,79.55,3.23
9/3/2013,0,69.25,79.32,5.91
9/4/2013,0,62.08,81.29,9.25
9/5/2013,0,59.18,67.69,1.15
9/6/2013,0,51.66,68.74,3.62
9/9/2013,0,46,68.99,5.26
9/10/2013,0,58.92,74.94,9.8
9/11/2013,0,69.96,93.82,8.58
9/12/2013,0,70.95,85.01,9.44
9/13/2013,0,61.99,73.37,1.58
9/16/2013,0,52.4,66.23,6.96
9/17/2013,0,45.24,58.14,6.12
9/18/2013,0,50.55,73.16,6.36
9/19/2013,0,54.51,69.88,3.39
9/20/2013,0,56.22,69.32,1.72
9/23/2013,0,49.65,64.05,11.31
9/24/2013,0,46.72,65.44,7.58
9/25/2013,0,51.45,61.1,2.71
9/26/2013,0,55.18,60.81,4.83
9/27/2013,0,57.2,62.95,5.93
9/30/2013,0,52.09,61.92,2.64
10/1/2013,0,53.02,72.9,2.71
10/2/2013,0,59.93,79.96,9.67
10/3/2013,0,60.42,76.81,5.53
10/4/2013,0,59.51,64.09,1.85
10/7/2013,0,58.58,75.91,10.2
10/8/2013,0,54.08,65.04,8.39
10/9/2013,0,50.14,58.9,8.85
10/10/2013,0,49.1,59.28,6.28
10/11/2013,0,52.8,64,6.98
10/15/2013,0,52.79,62.47,2.56
10/16/2013,0,52.33,60.02,4.35
10/17/2013,0,54.83,70.94,6.71
10/18/2013,0,55.89,68.65,9.35
10/21/2013,0,46.38,66.22,5.97
10/22/2013,0,49.34,67.18,6.47
10/23/2013,0,45.45,52.28,5
10/24/2013,0,42.48,53.16,11.44
10/25/2013,0,39.08,49.38,9.98
10/28/2013,0,39.24,59.2,8.75
10/29/2013,0,35.55,46.59,2.86
10/30/2013,0,39.64,52.32,4.54
10/31/2013,0,41.48,63.19,8.09
11/1/2013,0,60.53,69.78,18.86
11/4/2013,0,31.62,40.59,7.42
11/5/2013,0,32.99,47.07,2.09
11/6/2013,0,42.6,59.35,10.37
11/7/2013,0,45.23,66.3,9.26
11/8/2013,0,36.85,48.14,12.06
11/12/2013,0,30.5,49.55,11
11/13/2013,0,26.78,36.63,10.41
11/14/2013,0,30.23,50.7,10.8
11/15/2013,0,39.78,60.31,8.7
11/18/2013,0,51.61,65.68,9.53
11/19/2013,0,33.71,50.54,15.16
11/20/2013,0,29.82,41.06,9.55
11/21/2013,0,30.04,47,3.82
11/22/2013,0,42.79,46.4,3.23
11/25/2013,0,19.01,33.07,10.69
