Year,Month,Total,BPD,BFD,EMS
2011,6,2820,2090,323,407
2011,6,2740,2116,248,376
2011,6,2868,2223,242,403
2011,6,2676,2059,243,374
2011,6,2365,1795,211,359
2011,6,2704,2123,215,366
2011,6,2634,2024,232,378
2011,6,2849,2187,240,422
2011,6,2562,1914,260,388
2011,6,2738,2077,258,403
2011,6,2479,1878,196,405
2011,6,2190,1565,243,382
2011,6,2690,2084,229,377
2011,6,2397,1871,173,353
2011,6,2748,2133,227,388
2011,6,2707,1988,256,463
2011,6,2511,1944,217,350
2011,6,2922,2089,304,529
2011,6,2259,1707,197,355
2011,6,2690,2019,252,419
2011,6,2752,2100,247,405
2011,6,2508,1938,211,359
2011,6,2429,1815,236,378
2011,6,2564,1986,207,371
2011,6,2391,1816,210,365
2011,6,2462,1799,249,414
2011,6,2679,2040,243,396
2011,6,2902,2229,256,417
2011,6,2834,2214,258,362
2011,6,2808,2213,214,381
2011,7,2903,2282,221,400
2011,7,2737,2130,219,388
2011,7,2647,2040,228,379
2011,7,2974,2280,253,441
2011,7,3040,2325,292,423
2011,7,2777,2094,286,397
2011,7,2867,2160,271,436
2011,7,2641,1989,250,402
2011,7,2586,1936,256,394
2011,7,2496,1905,214,377
2011,7,2832,2132,259,441
2011,7,2776,2099,259,418
2011,7,2643,2027,236,380
2011,7,2749,2096,248,405
2011,7,2787,2152,232,403
2011,7,2704,2081,229,394
2011,7,2481,1912,204,365
2011,7,2606,2049,195,362
2011,7,2799,2094,294,411
2011,7,2758,2112,261,385
2011,7,2807,2089,278,440
2011,7,3055,2190,354,511
2011,7,2733,2032,255,446
2011,7,2374,1839,181,354
2011,7,2549,1948,234,367
2011,7,2687,2047,234,406
2011,7,2725,2070,258,397
2011,7,2886,2213,261,412
2011,7,2678,2091,224,363
2011,7,2715,2045,259,411
2011,7,2428,1831,216,381
2011,8,2727,2118,232,377
2011,8,2667,2004,240,423
2011,8,2876,2216,246,414
2011,8,2902,2204,254,444
2011,8,2715,2062,240,413
2011,8,2613,1917,234,462
2011,8,2192,1572,264,356
2011,8,2747,2014,294,439
2011,8,2624,2017,246,361
2011,8,2500,1886,237,377
2011,8,2873,2159,266,448
2011,8,2760,2092,236,432
2011,8,2585,1917,284,384
2011,8,2233,1656,201,376
2011,8,2353,1772,230,351
2011,8,2613,1967,244,402
2011,8,2715,2068,237,410
2011,8,2677,2055,233,389
2011,8,2813,2114,289,410
2011,8,2747,2084,261,402
2011,8,2372,1759,209,404
2011,8,2617,1981,239,397
2011,8,2618,1948,271,399
2011,8,2615,2068,188,359
2011,8,2635,2007,221,407
2011,8,2884,2261,228,395
2011,8,2574,1915,257,402
2011,8,3150,2148,671,331
2011,8,2800,2137,265,398
2011,8,2684,2062,242,380
2011,8,2797,2180,261,356
2011,9,2789,2201,234,354
2011,9,2749,2153,217,379
2011,9,2641,1970,250,421
2011,9,2462,1822,223,417
2011,9,2260,1680,217,363
2011,9,2524,1854,243,427
2011,9,2432,1826,250,356
2011,9,2701,2056,260,385
2011,9,3036,2361,271,404
2011,9,3005,2281,280,444
2011,9,2511,1901,237,373
2011,9,2590,1999,222,369
2011,9,2750,2076,272,402
2011,9,2757,2105,232,420
2011,9,2872,2228,225,419
2011,9,2981,2301,275,405
2011,9,2689,2022,244,423
2011,9,2411,1820,224,367
2011,9,2724,2051,258,415
2011,9,2573,2004,207,362
2011,9,2914,2263,242,409
2011,9,2961,2275,280,406
2011,9,2930,2210,262,458
2011,9,2791,2078,293,420
2011,9,2506,1865,240,401
2011,9,2817,2188,241,388
2011,9,2833,2196,228,409
2011,9,2907,2259,223,425
2011,9,2740,2114,258,368
2011,9,2725,2119,222,384
2011,10,2774,2100,252,422
2011,10,2344,1764,208,372
2011,10,2676,2083,233,360
2011,10,2749,2069,284,396
2011,10,2633,2046,220,367
2011,10,2772,2148,246,378
2011,10,2820,2155,260,405
2011,10,2761,2094,247,420
2011,10,2393,1745,251,397
2011,10,2490,1851,255,384
2011,10,2622,2047,227,348
2011,10,2620,2017,231,372
2011,10,2711,2038,250,423
2011,10,2923,2231,257,435
2011,10,2720,2054,257,409
2011,10,2354,1783,204,367
2011,10,2778,2106,240,432
2011,10,2795,2152,271,372
2011,10,2604,2009,227,368
2011,10,2721,2088,237,396
2011,10,2726,2152,194,380
2011,10,2654,2064,221,369
2011,10,2359,1797,228,334
2011,10,2731,2136,221,374
2011,10,2564,2040,189,335
2011,10,2726,2088,234,404
2011,10,2602,2045,200,357
2011,10,2973,2342,239,392
2011,10,2545,1923,228,394
2011,10,2289,1765,213,311
2011,10,2710,2132,228,350
2011,11,2627,2020,210,397
2011,11,2714,2108,238,368
2011,11,2664,2081,248,335
2011,11,2839,2209,244,386
2011,11,2505,1916,237,352
2011,11,2304,1700,230,374
2011,11,2725,2102,240,383
2011,11,2753,2098,256,399
2011,11,2691,2059,226,406
2011,11,2585,1969,226,390
2011,11,2503,1900,235,368
2011,11,2468,1883,233,352
2011,11,2302,1753,208,341
2011,11,2611,2008,210,393
2011,11,2580,2049,218,313
2011,11,2758,2107,258,393
2011,11,2534,1965,197,372
2011,11,2621,2063,207,351
2011,11,2552,1946,238,368
2011,11,2495,1889,236,370
2011,11,2585,1989,224,372
2011,11,2567,1982,215,370
2011,11,2408,1854,210,344
2011,11,1435,955,215,265
2011,11,2174,1661,180,333
2011,11,2353,1827,192,334
2011,11,2087,1612,172,303
2011,11,2553,2002,199,352
2011,11,2617,2069,199,349
2011,11,2605,2057,196,352
2011,12,2654,2067,214,373
2011,12,2934,2301,254,379
2011,12,2503,1912,221,370
2011,12,2221,1703,208,310
2011,12,2687,2066,226,395
2011,12,2760,2074,257,429
2011,12,2552,1970,233,349
2011,12,2667,2070,235,362
2011,12,2713,2099,239,375
2011,12,2437,1797,248,392
2011,12,2110,1581,209,320
2011,12,2505,1987,204,314
2011,12,2524,1928,239,357
2011,12,2678,2065,244,369
2011,12,2564,1935,246,383
2011,12,2580,2024,196,360
2011,12,2435,1874,207,354
2011,12,2112,1579,202,331
2011,12,2510,1895,265,350
2011,12,2594,2016,203,375
2011,12,2714,2111,216,387
2011,12,2695,2135,210,350
2011,12,2353,1822,186,345
2011,12,1867,1389,179,299
2011,12,1361,885,170,306
2011,12,1865,1405,158,302
2011,12,2442,1923,200,319
2011,12,2449,1906,193,350
2011,12,2287,1742,203,342
2011,12,2337,1842,173,322
2011,12,2250,1663,209,378
2012,1,2644,1898,253,493
2012,1,2077,1625,165,287
2012,1,2491,1899,231,361
2012,1,2656,2053,238,365
2012,1,3253,2646,241,366
2012,1,2716,2135,226,355
2012,1,2397,1877,193,327
2012,1,2189,1711,175,303
2012,1,2438,1928,196,314
2012,1,2794,2154,209,431
2012,1,2673,2108,187,378
2012,1,2504,1925,210,369
2012,1,2678,2098,223,357
2012,1,2355,1785,226,344
2012,1,2124,1597,195,332
2012,1,2374,1724,265,385
2012,1,2744,2072,262,410
2012,1,2756,2197,209,350
2012,1,2692,2138,208,346
2012,1,2843,2198,231,414
2012,1,2205,1654,221,330
2012,1,2116,1572,208,336
2012,1,2564,1974,224,366
2012,1,2820,2226,219,375
2012,1,2822,2286,201,335
2012,1,2676,2151,198,327
2012,1,2567,1929,235,403
2012,1,2486,1960,196,330
2012,1,2226,1789,149,288
2012,1,2666,2104,218,344
2012,1,2763,2168,233,362
2012,2,2806,2250,209,347
2012,2,2682,2110,200,372
2012,2,2835,2247,229,359
2012,2,2482,1927,198,357
2012,2,2273,1756,187,330
2012,2,2635,2005,209,421
2012,2,2648,2128,197,323
2012,2,2695,2131,206,358
2012,2,2751,2119,226,406
2012,2,2838,2208,229,401
2012,2,2440,1890,187,363
2012,2,2254,1742,195,317
2012,2,2681,2138,198,345
2012,2,2636,2080,196,360
2012,2,2768,2183,205,380
2012,2,2876,2259,232,385
2012,2,2818,2191,217,410
2012,2,2600,1951,211,438
2012,2,2349,1741,199,409
2012,2,2340,1781,204,355
2012,2,2485,1929,208,348
2012,2,2767,2156,231,380
2012,2,2735,2165,207,363
2012,2,2668,2096,216,356
2012,2,2575,1987,224,364
2012,2,2289,1762,177,350
2012,2,2647,2109,188,350
2012,2,2615,2091,190,334
2012,2,2558,2020,194,344
2012,3,2639,2088,199,352
2012,3,2844,2184,249,411
2012,3,2655,1976,255,424
2012,3,2336,1813,181,342
2012,3,2684,2126,212,346
2012,3,2701,2128,206,367
2012,3,2897,2312,223,362
2012,3,3034,2417,219,398
2012,3,2797,2223,205,369
2012,3,2548,1961,224,363
2012,3,2295,1748,219,328
2012,3,2953,2326,226,401
2012,3,3065,2321,303,441
2012,3,2713,2070,271,372
2012,3,2733,2141,219,373
2012,3,2863,2260,238,365
2012,3,3044,2337,263,444
2012,3,2968,2187,257,524
2012,3,2681,2126,208,347
2012,3,2928,2322,223,383
2012,3,2974,2332,229,413
2012,3,3137,2477,238,422
2012,3,3019,2392,226,401
2012,3,2719,2110,207,402
2012,3,2251,1766,166,319
2012,3,2821,2160,256,405
2012,3,2856,2276,255,325
2012,3,2774,2297,169,308
2012,3,2723,2207,157,359
2012,3,2957,2383,207,367
2012,3,2551,1955,215,381
2012,4,2330,1788,198,344
2012,4,2792,2240,202,350
2012,4,3019,2381,252,386
2012,4,3002,2385,215,402
