Year,Month,Total,BPD,BFD,EMS
2013,5,3025,2344,239,442
2013,5,3194,2504,257,433
2013,5,3190,2457,249,484
2013,5,3069,2374,257,438
2013,5,2732,2078,237,417
2013,5,3187,2513,245,429
2013,5,3096,2461,219,416
2013,5,2980,2345,233,402
2013,5,3061,2371,245,445
2013,5,3120,2426,246,448
2013,5,2608,2072,191,345
2013,5,2618,2106,169,343
2013,5,2581,2045,198,338
2013,5,3187,2499,255,433
2013,5,2936,2307,214,415
2013,5,3390,2641,309,440
2013,5,3470,2638,310,522
2013,6,3206,2495,246,465
2013,6,3193,2434,280,479
2013,6,3265,2528,273,464
2013,6,3317,2574,258,485
2013,6,3180,2486,230,464
2013,6,3206,2571,232,403
2013,6,3015,2417,222,376
2013,6,3061,2439,237,385
2013,6,3402,2668,294,440
2013,6,3064,2352,276,436
2013,6,2860,2234,224,402
2013,6,3001,2350,243,408
2013,6,2795,2181,190,424
2013,6,3091,2486,226,379
2013,6,3252,2491,271,490
2013,6,2808,2181,220,407
2013,6,3115,2408,255,452
2013,6,2915,2244,231,440
2013,6,3061,2441,232,388
2013,6,3118,2360,264,494
2013,6,3123,2414,253,456
2013,6,3125,2430,241,454
2013,6,2810,2141,228,441
2013,6,3280,2582,261,437
2013,6,3346,2648,233,465
2013,6,3292,2575,248,469
2013,6,2976,2410,196,370
2013,6,3187,2450,281,456
2013,6,3134,2491,239,404
2013,6,2932,2286,201,445
2013,7,3037,2423,244,370
2013,7,3077,2517,194,366
2013,7,3273,2600,236,437
2013,7,3556,2837,224,495
2013,7,3413,2669,256,488
2013,7,2912,2301,236,375
2013,7,2655,2024,227,404
2013,7,3101,2449,225,427
2013,7,3080,2458,206,416
2013,7,3159,2473,260,426
2013,7,3187,2516,264,407
2013,7,3189,2522,235,432
2013,7,3043,2393,224,426
2013,7,2933,2315,212,406
2013,7,3211,2514,263,434
2013,7,3092,2408,251,433
2013,7,3351,2608,289,454
2013,7,3376,2636,286,454
2013,7,3490,2625,323,542
2013,7,3118,2389,261,468
2013,7,2970,2347,210,413
2013,7,3084,2372,267,445
2013,7,2950,2277,255,418
2013,7,3350,2607,258,485
2013,7,3073,2407,236,430
2013,7,3007,2368,229,410
2013,7,3132,2448,248,436
2013,7,2782,2170,222,390
2013,7,3042,2379,236,427
2013,7,3245,2514,271,460
2013,7,3308,2562,270,476
2013,8,3114,2472,223,419
2013,8,3234,2556,240,438
2013,8,3116,2397,250,469
2013,8,2901,2249,220,432
2013,8,3031,2413,202,416
2013,8,3193,2536,213,444
2013,8,2899,2297,216,386
2013,8,2996,2341,213,442
2013,8,3163,2411,286,466
2013,8,2986,2378,231,377
2013,8,2966,2340,196,430
2013,8,3056,2427,233,396
2013,8,3160,2491,256,413
2013,8,3049,2402,227,420
2013,8,3017,2381,216,420
2013,8,3122,2448,227,447
2013,8,3066,2338,246,482
2013,8,3055,2453,215,387
2013,8,3053,2366,250,437
2013,8,3083,2387,267,429
2013,8,3257,2609,229,419
2013,8,3066,2383,230,453
2013,8,3013,2386,209,418
2013,8,3106,2333,267,506
2013,8,2701,2119,209,373
2013,8,3001,2356,221,424
2013,8,2926,2292,222,412
2013,8,2998,2395,221,382
2013,8,2932,2327,213,392
2013,8,3221,2551,224,446
2013,8,3003,2404,227,372
2013,9,2873,2226,262,385
2013,9,2944,2292,242,410
2013,9,3137,2457,261,419
2013,9,3466,2746,231,489
2013,9,3143,2433,238,472
2013,9,3228,2621,204,403
2013,9,3037,2370,225,442
2013,9,2716,2073,220,423
2013,9,3022,2410,209,403
2013,9,3170,2446,262,462
2013,9,3426,2651,287,488
2013,9,3105,2430,258,417
2013,9,3167,2448,275,444
2013,9,3118,2440,228,450
2013,9,2908,2294,212,402
2013,9,2999,2434,196,369
2013,9,3094,2442,241,411
2013,9,3136,2459,261,416
2013,9,3118,2463,235,420
2013,9,3231,2552,239,440
2013,9,3139,2517,240,382
2013,9,2840,2161,242,437
2013,9,3004,2380,222,402
2013,9,2909,2344,208,357
2013,9,2899,2308,197,394
2013,9,2922,2334,212,376
2013,9,3101,2458,214,429
2013,9,2979,2271,252,456
2013,9,2597,2046,207,344
2013,9,2907,2298,207,402
2013,10,2952,2306,228,418
2013,10,3049,2423,235,391
2013,10,3117,2425,249,443
2013,10,3155,2485,245,425
2013,10,3039,2309,246,484
2013,10,2641,1968,240,433
2013,10,3083,2329,298,456
2013,10,3307,2595,257,455
2013,10,2986,2354,237,395
2013,10,2994,2345,221,428
2013,10,3044,2424,215,405
2013,10,2743,2114,213,416
2013,10,2556,2003,203,350
2013,10,2550,1926,235,389
2013,10,2951,2361,215,375
2013,10,2948,2329,225,394
2013,10,2988,2316,235,437
2013,10,3101,2465,217,419
2013,10,2684,2068,210,406
2013,10,2348,1787,186,375
2013,10,2939,2297,227,415
2013,10,2970,2360,221,389
2013,10,2824,2224,221,379
2013,10,2765,2174,220,371
2013,10,3040,2420,222,398
2013,10,2919,2281,223,415
2013,10,2461,1933,181,347
2013,10,2839,2254,219,366
2013,10,2754,2150,228,376
2013,10,2701,2100,218,383
2013,10,2978,2289,258,431
2013,11,3271,2530,281,460
2013,11,2931,2180,246,505
2013,11,2515,1917,207,391
2013,11,2808,2164,243,401
2013,11,2967,2291,261,415
2013,11,2797,2244,192,361
2013,11,2771,2208,204,359
2013,11,2958,2286,223,449
2013,11,2605,2012,222,371
2013,11,2325,1800,169,356
2013,11,2384,1881,186,317
2013,11,2668,2138,169,361
2013,11,2796,2221,204,371
2013,11,2745,2140,213,392
2013,11,3042,2335,250,457
2013,11,2660,2057,209,394
2013,11,2447,1854,213,380
2013,11,2776,2142,227,407
2013,11,2743,2174,198,371
2013,11,2864,2278,196,390
2013,11,2785,2200,211,374
2013,11,2985,2236,277,472
2013,11,2578,2014,192,372
2013,11,2317,1753,234,330
2013,11,2720,2117,241,362
2013,11,2705,2128,231,346
2013,11,2870,2150,299,421
2013,11,1574,1125,202,247
2013,11,2440,1854,216,370
2013,11,2520,1993,174,353
2013,12,2344,1793,200,351
2013,12,2890,2289,229,372
2013,12,2819,2233,192,394
2013,12,3040,2350,250,440
2013,12,3111,2427,261,423
2013,12,3151,2449,246,456
2013,12,2699,2058,229,412
2013,12,2441,1950,168,323
2013,12,2674,2120,196,358
2013,12,2788,2212,192,384
2013,12,2980,2345,211,424
2013,12,2814,2177,236,401
2013,12,2926,2240,221,465
2013,12,2579,1964,229,386
2013,12,2358,1728,258,372
2013,12,2751,2078,239,434
2013,12,2883,2223,227,433
2013,12,2905,2340,179,386
2013,12,3051,2435,221,395
2013,12,3106,2373,299,434
2013,12,2737,2116,224,397
2013,12,2434,1878,201,355
2013,12,2655,2072,216,367
2013,12,2319,1740,207,372
2013,12,1474,1045,154,275
2013,12,2313,1764,205,344
2013,12,2564,1979,210,375
2013,12,2447,1928,180,339
2013,12,2160,1638,174,348
2013,12,2548,2026,177,345
2013,12,2837,2178,251,408
2014,1,2893,2242,195,456
2014,1,2496,1822,237,437
2014,1,2388,1660,319,409
2014,1,2643,1772,490,381
2014,1,2574,1830,348,396
2014,1,2978,2168,354,456
2014,1,2933,2255,227,451
2014,1,2853,2202,239,412
2014,1,2800,2132,232,436
2014,1,2918,2195,254,469
2014,1,2617,1945,265,407
2014,1,2427,1833,191,403
2014,1,2771,2165,224,382
2014,1,2643,2038,216,389
2014,1,2801,2181,207,413
2014,1,2917,2280,223,414
2014,1,2987,2359,218,410
2014,1,2687,2008,231,448
2014,1,2283,1765,176,342
2014,1,2505,1958,185,362
2014,1,2689,2075,194,420
2014,1,2487,1937,193,357
2014,1,2784,2185,211,388
2014,1,2953,2318,241,394
2014,1,2848,2135,278,435
2014,1,2476,1890,185,401
2014,1,2842,2219,217,406
2014,1,2686,2200,161,325
2014,1,2789,2230,187,372
2014,1,2754,2234,170,350
2014,1,3066,2412,233,421
2014,2,2733,2147,199,387
2014,2,2493,1900,201,392
2014,2,2816,2205,210,401
2014,2,3049,2382,241,426
2014,2,2393,1863,184,346
2014,2,2971,2354,198,419
2014,2,2961,2329,224,408
2014,2,2623,2010,198,415
2014,2,2450,1903,189,358
2014,2,2830,2224,208,398
2014,2,2764,2219,190,355
2014,2,2918,2342,208,368
2014,2,2721,2098,245,378
2014,2,2821,2205,218,398
2014,2,2655,2023,213,419
2014,2,2368,1874,159,335
2014,2,2584,2028,176,380
2014,2,2705,2124,196,385
2014,2,2861,2286,192,383
2014,2,2821,2127,255,439
2014,2,3013,2315,264,434
2014,2,3004,2302,233,469
2014,2,2657,2079,193,385
2014,2,2970,2376,197,397
2014,2,2801,2224,193,384
2014,2,2883,2273,202,408
2014,2,2800,2276,173,351
2014,2,2988,2329,261,398
2014,3,2827,2225,212,390
2014,3,2347,1875,151,321
2014,3,2730,2198,167,365
2014,3,2957,2372,211,374
2014,3,3012,2345,268,399
2014,3,3021,2402,216,403
2014,3,2975,2333,218,424
2014,3,2996,2294,256,446
2014,3,2499,1981,185,333
2014,3,2888,2270,208,410
2014,3,2957,2369,197,391
2014,3,2987,2364,227,396
2014,3,2824,2219,197,408
2014,3,3053,2459,194,400
2014,3,2974,2294,248,432
2014,3,2761,2117,208,436
2014,3,2687,2091,183,413
2014,3,2801,2230,191,380
2014,3,2881,2276,200,405
2014,3,2807,2232,207,368
2014,3,3001,2374,216,411
2014,3,2684,2031,219,434
2014,3,2465,1954,165,346
2014,3,2940,2329,238,373
2014,3,2796,2207,197,392
2014,3,2791,2220,202,369
2014,3,2912,2237,239,436
2014,3,2889,2263,220,406
2014,3,2701,2042,223,436
2014,3,2508,1911,216,381
2014,3,2814,2253,173,388
2014,4,3018,2420,189,409
2014,4,2938,2269,233,436
2014,4,2941,2278,206,457
2014,4,3086,2421,231,434
2014,4,2833,2202,204,427
2014,4,2699,2129,204,366
2014,4,2873,2286,203,384
2014,4,3063,2351,262,450
2014,4,3007,2388,206,413
2014,4,3024,2363,230,431
2014,4,3150,2448,252,450
2014,4,3101,2424,243,434
2014,4,2737,2140,207,390
2014,4,3244,2541,269,434
2014,4,3099,2456,233,410
2014,4,2899,2292,209,398
2014,4,3051,2383,245,423
2014,4,2951,2378,189,384
2014,4,2875,2267,205,403
2014,4,2598,1989,197,412
2014,4,2795,1933,238,624
