Name,Team,G,PA,HR,R,RBI,SB,AVG,OBP,SLG,WAR,HOF?
Babe Ruth,- - -,2503,10616,714,2174,2217,123,0.342,0.474,0.69,168.4,Yes
Barry Bonds,- - -,2986,12606,762,2227,1996,514,0.298,0.444,0.607,164.4,No
Willie Mays,- - -,2992,12493,660,2062,1903,338,0.302,0.384,0.557,149.9,Yes
Ty Cobb,- - -,3035,13072,117,2246,1937,892,0.366,0.433,0.512,149.3,Yes
Honus Wagner,- - -,2792,11739,101,1736,1732,722,0.327,0.391,0.466,138.1,Yes
Hank Aaron,- - -,3298,13940,755,2174,2297,240,0.305,0.374,0.555,136.3,Yes
Tris Speaker,- - -,2789,11988,117,1882,1529,432,0.345,0.428,0.5,130.6,Yes
Ted Williams,Red Sox,2292,9791,521,1798,1839,24,0.344,0.482,0.634,130.4,Yes
Rogers Hornsby,- - -,2259,9475,301,1579,1584,135,0.358,0.434,0.577,130.3,Yes
Stan Musial,Cardinals,3026,12712,475,1949,1951,78,0.331,0.417,0.559,126.8,Yes
Eddie Collins,- - -,2826,12037,47,1821,1300,744,0.333,0.424,0.429,120.5,Yes
Lou Gehrig,Yankees,2164,9660,493,1888,1995,102,0.34,0.447,0.632,116.3,Yes
Alex Rodriguez,- - -,2784,12207,696,2021,2086,329,0.295,0.38,0.55,112.9,No
Mickey Mantle,Yankees,2401,9909,536,1677,1509,153,0.298,0.421,0.557,112.3,Yes
Mel Ott,Giants,2730,11337,511,1859,1860,89,0.304,0.414,0.533,110.5,Yes
Mike Schmidt,Phillies,2404,10062,548,1506,1595,174,0.267,0.38,0.527,106.5,Yes
Rickey Henderson,- - -,3081,13346,297,2295,1115,1406,0.279,0.401,0.419,106.3,Yes
Frank Robinson,- - -,2808,11743,586,1829,1812,204,0.294,0.389,0.537,104,Yes
Nap Lajoie,- - -,2480,10460,83,1504,1599,380,0.338,0.38,0.467,102.2,Yes
Jimmie Foxx,- - -,2317,9670,534,1751,1922,87,0.325,0.428,0.609,101.8,Yes
Joe Morgan,- - -,2649,11329,268,1650,1133,689,0.271,0.392,0.427,98.8,Yes
Eddie Mathews,- - -,2391,10101,512,1509,1453,68,0.271,0.376,0.509,96.1,Yes
Carl Yastrzemski,Red Sox,3308,13991,452,1816,1844,168,0.285,0.379,0.462,94.8,Yes
Cal Ripken,Orioles,3001,12883,431,1647,1695,36,0.276,0.34,0.447,92.5,Yes
Cap Anson,- - -,2523,11319,97,1996,2076,276,0.333,0.393,0.445,91.2,Yes
Albert Pujols*,- - -,2575,11188,614,1723,1918,110,0.305,0.386,0.561,89.1,N/a
Al Kaline,Tigers,2834,11597,399,1622,1583,137,0.297,0.376,0.48,88.9,Yes
Wade Boggs,- - -,2440,10740,118,1513,1013,24,0.328,0.415,0.443,88.3,Yes
Roger Connor,- - -,1997,8837,138,1620,1322,244,0.317,0.397,0.486,86.2,Yes
George Brett,Royals,2707,11625,317,1583,1596,201,0.305,0.369,0.487,84.6,Yes
George Davis,- - -,2368,10151,73,1539,1437,616,0.295,0.361,0.405,84.6,Yes
Chipper Jones,Braves,2499,10614,468,1619,1623,150,0.303,0.401,0.529,84.6,No
Adrian Beltre,- - -,2814,11649,462,1475,1642,120,0.287,0.34,0.482,84.3,No
Joe DiMaggio,Yankees,1736,7671,361,1390,1537,30,0.325,0.398,0.579,83.1,Yes
Roberto Clemente,Pirates,2433,10212,240,1416,1305,83,0.317,0.359,0.475,80.6,Yes
Jeff Bagwell,Astros,2150,9431,449,1517,1529,202,0.297,0.408,0.54,80.2,Yes
Pete Rose,- - -,3562,15876,160,2165,1314,198,0.303,0.375,0.409,80.2,No
Brooks Robinson,Orioles,2896,11782,268,1232,1357,28,0.267,0.322,0.401,80.2,Yes
Dan Brouthers,- - -,1673,7658,106,1523,1296,256,0.342,0.423,0.519,79.5,Yes
Charlie Gehringer,Tigers,2323,10237,184,1774,1427,181,0.32,0.404,0.48,78.6,Yes
Ken Griffey Jr.,- - -,2671,11304,630,1662,1836,184,0.284,0.37,0.538,77.7,Yes
Bill Dahlen,- - -,2443,10390,84,1589,1233,547,0.272,0.358,0.382,77.5,No
Johnny Bench,Reds,2158,8673,389,1091,1376,68,0.267,0.342,0.476,74.8,Yes
Frankie Frisch,- - -,2311,10100,105,1532,1244,419,0.316,0.369,0.432,74.8,Yes
Paul Waner,- - -,2549,10762,113,1627,1309,104,0.333,0.404,0.473,74.7,Yes
Ed Delahanty,- - -,1835,8389,101,1599,1464,455,0.346,0.411,0.505,73.7,Yes
Fred Clarke,- - -,2242,9819,67,1619,1015,506,0.312,0.386,0.429,72.8,Yes
Reggie Jackson,- - -,2820,11416,563,1551,1702,228,0.262,0.356,0.49,72.7,Yes
Luke Appling,White Sox,2422,10243,45,1319,1116,179,0.31,0.399,0.398,72.7,Yes
Arky Vaughan,- - -,1817,7721,96,1173,926,118,0.318,0.406,0.453,72.6,Yes
Rod Carew,- - -,2469,10550,92,1424,1015,353,0.328,0.393,0.429,72.3,Yes
Frank Thomas,- - -,2322,10075,521,1494,1704,32,0.301,0.419,0.555,72.1,Yes
Eddie Murray,- - -,3026,12817,504,1627,1917,110,0.287,0.359,0.476,72,Yes
Derek Jeter,Yankees,2747,12602,260,1923,1311,358,0.31,0.377,0.44,71.8,N/a
Sam Crawford,- - -,2517,10594,97,1391,1525,366,0.309,0.362,0.452,71.1,Yes
Ron Santo,- - -,2243,9397,342,1138,1331,35,0.277,0.362,0.464,70.9,Yes
Billy Hamilton,- - -,1591,7584,40,1690,736,912,0.344,0.455,0.432,70.3,Yes
Scott Rolen,- - -,2038,8518,316,1211,1287,118,0.281,0.364,0.49,70.1,No
Rafael Palmeiro,- - -,2831,12046,569,1663,1835,97,0.288,0.371,0.515,70,No
Gary Carter,- - -,2295,9019,324,1025,1225,39,0.262,0.335,0.439,69.4,Yes
Al Simmons,- - -,2215,9515,307,1507,1827,88,0.334,0.38,0.535,69.3,Yes
Bobby Grich,- - -,2008,8220,224,1033,864,104,0.266,0.371,0.424,69.2,No
Harry Heilmann,- - -,2148,8960,183,1291,1539,113,0.342,0.41,0.52,69,Yes
Jim Thome,- - -,2543,10313,612,1583,1699,19,0.276,0.402,0.554,69,No
Ivan Rodriguez,- - -,2543,10270,311,1354,1332,127,0.296,0.334,0.464,68.9,Yes
Larry Walker,- - -,1988,8030,383,1355,1311,230,0.313,0.4,0.565,68.7,No
Johnny Mize,- - -,1884,7371,359,1118,1337,28,0.312,0.397,0.562,68.6,Yes
Carlton Fisk,- - -,2499,9853,376,1276,1330,128,0.269,0.341,0.457,68.3,Yes
Lou Whitaker,Tigers,2390,9967,244,1386,1084,143,0.276,0.363,0.426,68.1,No
Paul Molitor,- - -,2683,12167,234,1782,1307,504,0.306,0.369,0.448,67.7,Yes
Ozzie Smith,- - -,2573,10778,28,1257,793,580,0.262,0.337,0.328,67.6,Yes
Miguel Cabrera,- - -,2226,9530,462,1371,1613,38,0.317,0.395,0.553,67.6,N/a
Willie McCovey,- - -,2588,9691,521,1229,1555,26,0.27,0.374,0.515,67.4,Yes
Carlos Beltran,- - -,2586,11031,435,1582,1587,312,0.279,0.35,0.486,67.2,N/a
Andruw Jones,- - -,2196,8664,434,1204,1289,152,0.254,0.337,0.486,67.1,No
Barry Larkin,Reds,2180,9057,198,1329,960,379,0.295,0.371,0.444,67,Yes
Joe Cronin,- - -,2124,8838,170,1233,1424,87,0.301,0.39,0.468,66.6,Yes
Jesse Burkett,- - -,2066,9605,75,1720,952,389,0.338,0.415,0.446,66.6,Yes
