accum,min,max,wind,yesterdays_high,closed
743,10.074,25.33,43.33,11.97,56.31,0
745,8.552999999999999,20.7,28.88,6.67,38.81,0
746,0.027999999999999997,23.29,35.28,5.49,28.88,0
747,0.047,13.56,31.38,14.98,35.28,0
748,0.0,7.98,23.24,8.88,31.38,0
750,0.0,35.18,45.57,9.74,55.14,0
751,0.0,25.18,34.48,10.53,45.57,0
752,0.0,20.63,36.71,1.99,34.48,0
754,0.0,27.51,37.27,7.53,41.4,0
755,0.0,37.13,58.25,7.48,37.27,0
756,0.0,41.94,63.4,17.84,58.25,0
757,0.0,26.95,41.04,17.11,63.4,0
759,0.0,34.99,46.62,4.21,61.4,0
760,0.0,26.19,52.87,9.58,46.62,0
761,0.0,20.64,34.03,8.05,52.87,0
762,0.134,26.69,30.43,9.37,34.03,0
764,0.0,37.27,46.15,2.03,49.24,0
765,0.0,41.83,74.75,11.43,46.15,0
766,0.0,54.63,64.88,6.33,74.75,0
767,0.0,42.82,48.77,4.15,64.88,0
769,0.0,40.63,45.44,12.5,48.17,0
770,0.0,41.37,48.49,6.59,45.44,0
771,0.0,43.21,61.75,5.97,48.49,0
772,0.0,39.25,51.68,11.89,61.75,0
774,0.0,33.44,49.05,11.84,42.6,0
775,0.0,41.81,60.18,4.7,49.05,0
776,0.0,36.67,42.42,12.73,60.18,0
777,0.0,37.85,46.02,4.03,42.42,0
779,0.0,39.45,49.63,18.55,45.88,0
780,0.0,34.34,56.94,7.71,49.63,0
781,0.0,42.01,69.21,20.89,56.94,0
782,0.0,60.98,67.87,15.33,69.21,0
784,0.0,23.46,36.23,10.84,29.37,0
785,0.0,26.51,41.31,5.46,36.23,0
786,0.0,42.54,55.25,14.91,41.31,0
787,0.0,38.2,50.5,11.29,55.25,0
789,0.0,43.95,59.31,10.23,58.4,0
790,0.0,38.28,47.85,3.96,59.31,0
791,0.0,38.49,47.09,7.53,47.85,0
792,0.0,38.1,52.2,8.54,47.09,0
794,0.0,44.58,51.88,4.6,64.56,0
795,0.0,44.86,50.84,2.99,51.88,0
796,0.0,42.79,74.44,7.09,50.84,0
797,0.0,59.08,75.95,4.04,74.44,0
799,0.0,37.37,53.49,9.95,56.21,0
800,0.0,37.04,58.87,4.37,53.49,0
801,0.0,40.76,51.83,1.23,58.87,0
802,0.0,43.91,48.32,9.03,51.83,0
804,0.0,45.91,48.97,3.57,50.57,0
805,0.0,43.68,48.23,10.31,48.97,0
806,0.0,43.77,46.01,15.1,48.23,0
807,0.0,45.66,51.39,8.63,46.01,0
809,0.0,45.27,69.37,6.85,64.02,0
810,0.0,52.92,65.73,1.34,69.37,0
811,0.0,54.97,68.3,3.23,65.73,0
812,0.0,53.92,72.2,6.36,68.3,0
814,0.0,50.96,68.72,10.57,58.03,0
815,0.0,51.14,59.36,4.85,68.72,0
816,0.0,50.53,58.29,3.79,59.36,0
817,0.0,50.9,68.31,1.88,58.29,0
819,0.0,62.91,71.85,5.04,74.87,0
821,0.0,66.37,74.02,6.88,70.72,0
822,0.0,66.88,73.66,3.46,74.01999999999998,0
823,0.0,72.97,90.45,6.76,73.65999999999998,0
825,0.0,59.5,81.76,9.14,70.0,0
826,0.0,64.48,86.35,8.41,81.76,0
827,0.0,56.88,64.06,4.29,86.34999999999998,0
828,0.0,52.5,68.18,7.09,64.06,0
830,0.0,68.06,73.99,2.42,73.06,0
831,0.0,68.15,80.6,6.28,73.98999999999998,0
832,0.0,62.79,76.42,1.08,80.59999999999998,0
833,0.0,57.39,77.34,0.57,76.42,0
835,0.0,59.37,68.6,1.95,62.96,0
836,0.0,55.78,60.72,13.93,68.6,0
837,0.0,55.06,58.43,14.95,60.72,0
838,0.0,56.05,59.37,14.32,58.43,0
840,0.0,51.94,60.37,10.32,65.59,0
841,0.0,48.4,59.24,6.07,60.37,0
842,0.0,48.2,65.12,1.26,59.24,0
843,0.0,54.18,68.36,0.72,65.12,0
845,0.0,48.65,61.73,5.45,58.68,0
846,0.0,52.75,70.43,6.33,61.73,0
847,0.0,45.54,57.91,8.56,70.43000000000002,0
849,0.0,57.79,68.76,1.57,73.03,0
850,0.0,63.19,79.87,7.94,68.76,0
851,0.0,55.78,61.99,9.88,79.87,0
852,0.0,57.78,72.94,7.73,61.99,0
854,0.0,39.28,48.05,12.92,60.76,0
855,0.0,36.76,47.41,11.05,48.05,0
856,0.0,34.57,47.54,2.61,47.41,0
857,0.0,44.84,53.89,4.93,47.54,0
859,0.0,34.86,50.47,1.21,51.01,0
860,0.0,46.11,67.85,4.73,50.47,0
861,0.0,51.79,62.99,1.68,67.85,0
862,0.0,39.99,55.28,9.91,62.99,0
864,0.0,35.74,58.36,1.43,45.75,0
865,0.0,46.64,60.55,7.03,58.36,0
866,0.0,38.28,52.29,5.97,60.55,0
868,0.0,48.18,55.69,6.12,64.78,0
869,0.0,50.46,55.13,7.55,55.69,0
870,0.0,45.4,55.58,9.09,55.13,0
871,0.0,42.04,61.17,8.29,55.58,0
873,0.0,32.18,42.89,15.66,38.56,0
874,0.0,32.61,43.79,12.31,42.89,0
877,0.0,35.73,57.5,8.61,45.81,0
878,0.0,44.56,51.87,4.27,57.5,0
879,0.0,44.18,56.3,8.53,51.87,0
880,0.0,39.67,49.87,12.57,56.3,0
882,0.0,33.95,42.36,4.13,38.57,0
883,0.0,36.62,40.9,0.72,42.36,0
884,0.0,34.99,42.38,8.77,40.9,0
885,0.0,26.76,36.13,14.46,42.38,0
887,0.0,34.48,41.4,7.34,43.48,0
888,0.0,28.56,41.3,9.19,41.4,0
889,0.0,19.48,31.28,18.07,41.3,0
890,0.0,5.06,19.91,11.74,31.28,0
892,0.0,18.12,33.94,3.71,33.1,0
894,0.0,33.3,39.15,9.61,41.46,0
895,0.0,32.14,44.01,6.55,39.15,0
896,0.0,34.49,39.78,0.4,44.01,0
898,0.0,35.72,41.82,20.79,39.46,0
899,0.0,36.55,43.3,13.24,41.82,0
900,0.0,38.47,50.21,10.21,43.3,0
901,0.0,37.0,43.34,16.7,50.21,0
903,0.301,20.2,28.35,3.31,35.01,0
904,0.276,27.93,41.6,8.31,28.35,0
905,0.0,29.91,39.27,10.98,41.6,0
906,0.0,24.92,32.27,9.95,39.27,0
908,0.0,33.07,37.76,12.41,38.1,0
909,0.259,26.46,50.44,6.92,37.76,0
910,6.397,12.64,37.89,15.48,50.44,1
911,15.024000000000001,11.95,24.66,10.94,37.89,0
913,0.032,22.13,34.85,5.56,32.92,0
914,0.0,28.08,40.89,4.31,34.85,0
915,0.311,28.36,34.25,15.08,40.89,0
916,0.0,24.39,39.71,13.67,34.25,0
918,0.0,38.32,54.29,4.68,39.83,0
919,0.0,41.09,66.16,10.24,54.29,0
920,0.0,49.59,70.97,10.43,66.16,0
922,0.0,39.08,51.64,5.4,53.47,0
923,0.0,48.12,62.09,12.69,51.64,0
924,0.0,32.53,59.42,18.42,62.09,0
925,0.0,23.59,35.25,12.45,59.42,0
927,0.0,31.91,47.7,9.53,35.84000000000001,0
928,0.0,46.51,56.58,10.45,47.7,0
929,0.0,39.24,49.4,15.43,56.58,0
930,0.809,24.61,38.29,5.6,49.4,0
932,5.42,27.28,38.38,12.0,33.15,1
933,0.048,19.27,28.71,17.42,38.38,0
934,0.0,22.02,34.29,15.54,28.71,0
935,0.0,26.62,41.45,8.72,34.29,0
937,0.0,39.32,52.56,5.12,50.34,0
938,0.0,19.38,42.9,17.97,52.56,0
939,0.0,18.63,37.89,13.51,42.9,0
940,0.0,29.16,45.05,8.56,37.89,0
942,0.0,36.87,42.0,3.6,43.61,0
943,0.0,36.99,45.44,8.43,42.0,0
944,0.0,33.81,47.26,4.07,45.44,0
945,3.775,34.7,40.05,6.05,47.26,0
947,0.0,38.69,42.41,8.13,50.7,0
948,0.0,38.19,44.65,4.88,42.41,0
949,0.0,38.32,48.43,6.0,44.65,0
950,0.0,42.12,51.7,6.72,48.43,0
