accum,min,max,wind,yesterdays_high,closed
171,0.0,62.07,79.99,8.34,81.58,0
173,0.0,60.11,74.09,14.18,68.5,0
174,0.0,57.64,73.72,4.79,74.09,0
175,0.0,52.04,61.08,7.78,73.72,0
176,0.0,51.15,61.3,5.34,61.08,0
178,0.0,49.48,72.01,11.68,65.87,0
179,0.0,60.86,72.17,10.48,72.01000000000002,0
180,0.0,55.71,66.94,1.56,72.17,0
181,0.0,54.35,57.76,6.45,66.94,0
183,0.0,57.6,69.75,4.96,67.55,0
184,0.0,60.6,62.87,4.91,69.75,0
185,0.0,59.01,61.83,4.18,62.87,0
188,0.0,52.51,61.64,3.18,56.88,0
189,0.0,47.34,58.5,11.7,61.64,0
190,0.0,41.47,53.11,8.56,58.5,0
192,0.0,46.68,63.91,11.33,73.22,0
193,0.0,41.14,55.79,1.97,63.91,0
194,0.0,46.12,59.79,5.62,55.79,0
195,0.0,52.33,66.87,9.47,59.79,0
197,0.0,50.85,64.37,6.26,66.28,0
198,0.0,48.52,55.46,2.79,64.37,0
199,0.0,46.55,58.58,1.51,55.46,0
200,0.0,48.49,65.4,5.07,58.58,0
202,0.0,55.38,62.58,10.92,60.63,0
203,0.0,50.0,56.68,5.92,62.58,0
204,0.0,45.9,55.81,8.2,56.68,0
205,0.0,46.78,52.36,7.95,55.81,0
207,0.0,30.63,40.08,4.53,43.98,0
208,0.0,33.13,43.4,19.29,40.08,0
209,0.0,33.09,39.7,20.87,43.4,0
210,0.0,38.49,52.89,12.68,39.7,0
212,0.0,37.17,45.48,10.33,64.6,0
213,0.0,35.61,40.72,8.93,45.48,0
214,0.0,36.04,44.56,6.41,40.72,0
216,0.0,34.77,47.27,6.34,46.96,0
217,0.0,39.1,48.9,8.1,47.27,0
220,0.0,33.65,38.01,2.83,45.69,0
221,0.0,33.44,36.04,8.01,38.01,0
222,0.0,32.49,42.31,11.5,36.04,0
223,0.0,30.89,38.75,5.74,42.31,0
225,0.0,40.04,56.97,6.82,57.11,0
226,0.0,36.15,57.43,10.63,56.97,0
227,0.0,29.95,39.18,7.53,57.43,0
228,0.0,31.29,44.29,6.35,39.18,0
230,0.0,36.29,56.17,8.97,59.39,0
231,0.0,31.41,39.14,7.36,56.17,0
232,0.0,32.54,41.14,2.53,39.14,0
233,0.0,32.1,48.42,9.1,41.14,0
235,0.0,42.85,49.71,1.6,44.28,0
236,0.0,38.34,44.61,14.37,49.71,0
237,0.0,34.89,41.11,4.61,44.61,0
239,1.8630000000000002,30.73,35.74,4.07,42.29,0
240,0.0,31.39,42.53,8.12,35.74,0
241,0.0,19.33,30.45,9.57,42.53,0
243,0.0,9.55,16.73,13.23,25.49,0
244,0.0,5.28,19.72,15.61,16.73,0
245,0.054000000000000006,10.13,24.07,11.24,19.72,0
247,0.275,27.25,34.3,2.69,30.49,0
248,0.0,33.89,60.13,13.48,34.3,0
249,0.0,33.77,60.44,17.52,60.13,0
250,0.0,24.76,33.63,14.85,60.44,0
252,0.172,22.9,27.1,2.33,29.74,0
253,0.11199999999999999,26.69,39.14,8.39,27.1,0
254,0.0,19.56,28.3,5.53,39.14,0
255,3.824,20.65,32.43,16.51,28.3,1
257,0.0,36.33,44.06,13.9,44.15,0
258,0.0,31.76,41.24,4.67,44.06,0
259,0.0,32.87,40.65,2.12,41.24,0
260,0.0,31.2,48.49,9.67,40.65,0
262,0.0,28.0,42.89,16.27,45.87,0
263,0.0,26.29,31.78,15.55,42.89,0
264,0.0,26.57,36.42,5.28,31.78,0
266,0.0,31.85,40.29,4.75,38.98,0
267,0.0,38.28,40.87,15.47,40.29,0
268,0.0,34.66,43.64,3.52,40.87,0
269,0.0,35.67,40.48,8.43,43.64,0
271,0.0,32.35,41.69,8.46,40.12,0
272,0.0,36.11,38.79,18.82,41.69,0
273,1.857,31.13,36.5,21.3,38.79,0
274,4.196000000000001,29.22,41.82,17.65,36.5,1
276,0.0,41.83,54.35,11.16,49.92,0
277,0.0,40.5,51.7,10.02,54.35,0
278,0.0,25.2,39.33,14.25,51.7,0
279,0.0,21.37,40.77,12.22,39.33,0
281,4.335,29.18,36.48,12.63,33.55,1
282,0.0,26.91,38.81,12.94,36.48,0
283,0.185,30.13,33.94,2.75,38.81,0
284,0.0,30.03,39.51,10.25,33.94,0
286,0.0,34.4,47.95,8.48,41.63,0
287,0.0,35.38,51.52,9.27,47.95,0
288,0.0,38.24,45.21,5.63,51.52,0
289,0.0,39.52,53.92,6.39,45.21,0
291,0.0,32.3,40.28,15.82,59.33,0
292,0.0,31.78,46.0,17.74,40.28,0
293,0.0,32.48,55.21,9.58,46.0,0
294,0.0,39.2,54.97,6.45,55.21,0
296,0.0,46.11,69.65,2.08,59.59,0
297,0.0,44.68,52.68,4.46,69.65,0
298,0.0,43.4,48.63,5.1,52.68,0
