date,closed,note
2/2/11,1,
10/29/12,1,hurricane
2/8/13,1,
2/9/13,1,
2/10/13,1,
3/8/13,1,early facebook
3/19/13,1,
12/17/13,1,early facebook
12/18/13,1,early facebook
1/2/14,1,early
1/3/14,1,
1/22/14,1,
2/5/14,1,facebook
2/13/14,1,early facebook
1/24/15,1,facebook
1/26/15,1,early
1/27/15,1,
1/28/15,1,
2/2/15,1,
2/9/15,1,
2/10/15,1,
2/14/15,1,early facebook
2/15/15,1,facebook
2/8/16,1,
2/9/17,1,email
3/14/17,1,email
2/12/17,1,
2/13/17,1,
