AIRLINE_ID,Delay over 15,CANCELLED
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,,1
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,1,0
19805,1,0
19805,,1
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,1,0
19805,,1
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,,1
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,,1
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
19805,0,0
19805,1,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,,1
19805,0,0
19805,0,0
19805,0,0
19805,0,0
19805,1,0
