Academic Year,TAP College Code,Federal School Code,TAP College Name,TAP Sector Group,Scholarship Headcount,Scholarship FTE,Scholarship Dollars
2014,7734,2678,BRYANT & STRATTON ROCHESTER,6-BUS. DEGREE,3,2.75,"$11,341.25 "
2014,340,2742,JUILLIARD SCHOOL,5-INDEPENDENT,3,3,"$1,500.00 "
2014,7264,20757,BRIARCLIFFE COLLEGE-BOHEMIA,6-BUS. DEGREE,3,2.5,"$20,828.50 "
2014,6121,5208,COLL WESTCHESTER 4YR BBA EVE,6-BUS. DEGREE,3,2.5,"$14,281.75 "
2014,1099,9769,METROPOLITAN COLLEGE OF NY,5-INDEPENDENT,3,3,"$18,585.00 "
2014,5430,2838,SUNY STONY BROOK,3-SUNY SO,3,2.25,"$46,195.00 "
2014,5310,2791,PACE UNIVERSITY GRAD,5-INDEPENDENT,3,1.5,"$39,191.85 "
2014,5270,2689,CUNY HUNTER COLLEGE GRAD,1-CUNY SR,3,1.38,"$40,919.16 "
2014,5130,2837,SUNY BUFFALO,3-SUNY SO,3,1.63,"$54,948.08 "
2014,2321,21700,SWEDISH INST QRTLY PROGRAMS,6-BUS. DEGREE,3,2.67,"$7,028.35 "
2014,437,12364,ST PAUL'S SCH NURSING,5-INDEPENDENT,3,2.5,"$9,742.50 "
2014,890,2840,SUNY UPSTATE MEDICAL UNIV,3-SUNY SO,3,3.25,"$1,625.00 "
2014,2045,7304,CULINARY INSTITUTE OF AMERICA,5-INDEPENDENT,3,2.5,"$1,250.00 "
2014,8533,7804,STAR CAREER ACADEMY,VOCATIONAL - VET SCHOOLS ONLY,3,2.5,"$15,487.50 "
2014,8505,10147,WESTERN SUFFOLK BOCES,VOCATIONAL - VET SCHOOLS ONLY,3,2,"$11,490.00 "
2014,7952,10813,AMERICAN ACADEMY MCALLISTER INST.,6-BUS. DEGREE,3,2,"$19,348.50 "
2014,355,40953,THE KING'S COLLEGE,5-INDEPENDENT,3,3.25,"$2,875.00 "
2014,7863,21634,NEW YORK CAREER INSTITUTE,6-BUS. DEGREE,3,1.58,"$14,373.16 "
2014,7837,107329,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,2,2,$950.00 
2014,7833,7329,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,2,1.5,"$9,292.50 "
2014,1421,42101,STELLA & CHARLES GUTTMAN CC,2-CUNY CC,2,1,"$1,000.00 "
2014,5725,2778,MOUNT SAINT MARY COLLEGE,5-INDEPENDENT,2,0.88,"$22,908.52 "
2014,5450,2836,SUNY BINGHAMTON(GRAD),3-SUNY SO,2,1,"$40,000.00 "
2014,5390,2835,SUNY AT ALBANY GRAD,3-SUNY SO,2,2,"$12,390.00 "
2014,5011,2667,DOWLING COLLEGE,5-INDEPENDENT,2,1.25,"$40,602.50 "
2014,2315,10727,DEVRY COLLEGE OF NEW YORK,6-BUS. DEGREE,2,2,"$7,320.00 "
2014,2300,2772,MERCY COLLEGE,5-INDEPENDENT,2,1.5,"$22,112.00 "
2014,2270,25994,NEW YORK COLL OF HEALTH PROFESSIO,5-INDEPENDENT,2,1.5,"$9,292.50 "
2014,2178,7466,LAB INST OF MERCHANDISING,6-BUS. DEGREE,2,2,"$20,137.00 "
2014,2158,2896,VILLA MARIA COLLEGE OF BUFFALO,5-INDEPENDENT,2,1,"$1,000.00 "
2014,8552,0,BRANFORD HALL CAREER INST BOHEMIA,VOCATIONAL - VET SCHOOLS ONLY,2,1.5,"$9,292.50 "
2014,8547,0,CAMBRIDGE BUSINESS INSTITUTE,VOCATIONAL - VET SCHOOLS ONLY,2,1.25,"$7,743.75 "
2014,190,6445,CROUSE HOSPITAL,5-INDEPENDENT,2,0.92,"$2,831.46 "
2014,8532,25754,INTERNATIONAL CULINARY CENTER,VOCATIONAL - VET SCHOOLS ONLY,2,1,"$6,195.00 "
2014,8522,0,NEW YORK FILM ACADEMY,VOCATIONAL - VET SCHOOLS ONLY,2,1,"$6,195.00 "
2014,8518,1255,LINCOLN TECHNICAL INSTITUTE,VOCATIONAL - VET SCHOOLS ONLY,2,2,"$12,390.00 "
2014,8509,12652,ONONDAGA CORTLAND MADISON BOCES,VOCATIONAL - VET SCHOOLS ONLY,2,1,"$9,142.50 "
2014,1650,5064,ST JAMES MERCY HOSP SCH XRAY TECH,8-OTHER,1,0.5,$225.00 
2014,7845,4811,EVEREST INSTITUTE,6-BUS. DEGREE,1,1,"$6,195.00 "
2014,7839,7329,ITT TECHNICAL INSTITUTE,6-BUS. DEGREE,1,0.5,"$3,097.50 "
2014,1535,21579,ISABELLA GRAHAM HART SCH PRAC NUR,8-OTHER,1,1,$500.00 
2014,7816,31207,THE NY CONSERV FOR DRAMATIC ARTS,6-BUS. DEGREE,1,1,$500.00 
2014,7736,2678,BRYANT & STRATTON SYRACUSE,6-BUS. DEGREE,1,1,"$6,195.00 "
2014,7699,12358,PLAZA COLLEGE-2YR,6-BUS. DEGREE,1,1.5,"$9,292.50 "
2014,7510,22195,EMPIRE EDUCATION CORPORATION,6-BUS. DEGREE,1,1,$500.00 
2014,7480,8495,JAMESTOWN BUSINESS COLLEGE,6-BUS. DEGREE,1,0.33,$150.00 
2014,6936,25408,"878 EDUCATION, LLC",6-BUS. DEGREE,1,0.5,$250.00 
2014,6124,5208,COLL WESTCHESTER 4YR BBA DAY,6-BUS. DEGREE,1,1.5,$750.00 
2014,6045,7304,CULINARY INSTITUTE OF AMERICA,5-INDEPENDENT,1,0.5,"$10,401.00 "
