Academic Year,College Name,Sector Group,Headcount,Amount
2015,HARTWICK COLLEGE,5-INDEPENDENT,78,"$118,589.50 "
2015,ST BONAVENTURE UNIVERSITY,5-INDEPENDENT,77,"$79,122.00 "
2015,MOLLOY COLLEGE,5-INDEPENDENT,75,"$410,526.46 "
2015,ST JOSEPHS COLLEGE,5-INDEPENDENT,73,"$123,639.70 "
2015,NASSAU COMMUNITY COLLEGE,4-SUNY CC,72,"$257,699.10 "
2015,BARNARD COLLEGE,5-INDEPENDENT,72,"$54,500.00 "
2015,SUNY COLLEGE OF TECH FARMINGDALE,3-SUNY SO,70,"$245,727.14 "
2015,HOUGHTON COLLEGE,5-INDEPENDENT,70,"$79,020.00 "
2015,MERCY COLLEGE,5-INDEPENDENT,70,"$175,423.03 "
2015,SKIDMORE COLLEGE,5-INDEPENDENT,70,"$120,091.00 "
2015,IONA COLLEGE,5-INDEPENDENT,67,"$339,741.00 "
2015,COLLEGE OF SAINT ROSE,5-INDEPENDENT,65,"$83,871.59 "
2015,HOBART AND WILLIAM SMITH COLLEGES,5-INDEPENDENT,62,"$102,085.16 "
2015,D'YOUVILLE COLLEGE,5-INDEPENDENT,58,"$63,663.88 "
2015,SYRACUSE UNIV UTICA COLLEGE,5-INDEPENDENT,58,"$51,780.75 "
2015,ROBERTS WESLEYAN COLLEGE,5-INDEPENDENT,57,"$76,969.08 "
2015,SUC PURCHASE,3-SUNY SO,56,"$176,660.60 "
2015,MOUNT SAINT MARY COLLEGE,5-INDEPENDENT,56,"$337,199.97 "
2015,CUNY KINGSBOROUGH CC,2-CUNY CC,54,"$103,509.10 "
2015,ALFRED UNIVERSITY,5-INDEPENDENT,54,"$98,016.00 "
2015,SUNY COLLEGE OF TECH AT ALFRED,3-SUNY SO,51,"$149,731.32 "
2015,JEFFERSON COMMUNITY COLLEGE,4-SUNY CC,50,"$78,785.80 "
2015,SUNY MARITIME COLLEGE,3-SUNY SO,49,"$383,676.96 "
2015,HUDSON VALLEY COMMUNITY COLLEGE,4-SUNY CC,49,"$42,100.40 "
2015,PACE UNIVERSITY WESTCHESTER,5-INDEPENDENT,49,"$256,243.20 "
2015,ADIRONDACK COMMUNITY COLLEGE,4-SUNY CC,48,"$81,745.50 "
2015,CUNY LAGUARDIA CC,2-CUNY CC,47,"$59,700.00 "
2015,WAGNER COLLEGE,5-INDEPENDENT,47,"$159,686.25 "
2015,SUNY COLLEGE AT OLD WESTBURY (UG),3-SUNY SO,44,"$97,898.85 "
2015,FASHION INST TECH-LOWER DIVISION,4-SUNY CC,44,"$57,141.00 "
2015,JAMESTOWN COMMUNITY COLLEGE,4-SUNY CC,42,"$40,323.00 "
2015,SUNY COLLEGE OF TECH AT CANTON,3-SUNY SO,40,"$99,747.07 "
2015,YESHIVA UNIVERSITY,5-INDEPENDENT,40,"$35,750.00 "
2015,CUNY BRONX CC,2-CUNY CC,39,"$68,511.40 "
2015,ST JOSEPHS COLLEGE,5-INDEPENDENT,38,"$105,739.50 "
2015,MONROE COLLEGE,6-BUS. DEGREE,36,"$119,087.97 "
2015,ALFRED UNIVERSITY,3-SUNY SO,35,"$58,477.50 "
2015,CAZENOVIA COLLEGE,5-INDEPENDENT,35,"$48,997.00 "
2015,CUNY MEDGER EVERS COLLEGE,1-CUNY SR,34,"$53,535.35 "
2015,ORANGE COUNTY COMMUNITY COLLEGE,4-SUNY CC,34,"$60,323.75 "
2015,ST FRANCIS COLLEGE,5-INDEPENDENT,34,"$145,798.00 "
2015,THE SAGE COLLEGES,5-INDEPENDENT,34,"$28,242.50 "
2015,THE NEW SCHOOL,5-INDEPENDENT,33,"$39,258.00 "
2015,CORNING COMMUNITY COLLEGE,4-SUNY CC,32,"$46,217.74 "
2015,FINGER LAKES COMMUNITY COLLEGE,4-SUNY CC,32,"$52,431.50 "
2015,MOHAWK VALLEY COMMUNITY COLLEGE,4-SUNY CC,32,"$36,896.20 "
