timestamp,url1,url2,all together now
0,0,0,0
2017-10-11 16:32:00,Coding the Law: An Introduction to Algorithms in the Law,Coding the Law: Student Work,Coding the Law: An Introduction to Algorithms in the Law AND Coding the Law: Student Work
