business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
74922,Le Marais Bakery,2066 Chestnut St,San Francisco,CA,94123,,,,,74922_20160430,4/30/16 0:00,82,Routine - Unscheduled,74922_20160430_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
85037,The Temporarim,3414 22nd St,San Francisco,CA,94110,,,,14158420515,85037_20161206,12/6/16 0:00,90,Routine - Unscheduled,85037_20161206_103152,Unclean unmaintained or improperly constructed toilet facilities,Low Risk
66999,Super Duper Burgers,2201 Chestnut St,San Francisco,CA,94123,37.800344,-122.439697,"(37.800344, -122.439697)",,66999_20160607,6/7/16 0:00,87,Routine - Unscheduled,66999_20160607_103102,Unclean hands or improper use of gloves,High Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103133,Foods not protected from contamination,Moderate Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103142,Unclean nonfood contact surfaces,Low Risk
61,Chowders,Pier 39  Space A3,San Francisco,CA,94133,37.80824,-122.410189,"(37.80824, -122.410189)",,61_20150827,8/27/15 0:00,92,Routine - Unscheduled,61_20150827_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
4787,TONY BALONEY'S,1098 HOWARD St,San Francisco,CA,94103,37.778033,-122.40943,"(37.778033, -122.40943)",14155861514,4787_20160628,6/28/16 0:00,83,Routine - Unscheduled,4787_20160628_103131,Moderate risk vermin infestation,Moderate Risk
64682,Straw,203 Octavia St,San Francisco,CA,94102,37.773928,-122.42419,"(37.773928, -122.42419)",,64682_20160129,1/29/16 0:00,86,Routine - Unscheduled,64682_20160129_103142,Unclean nonfood contact surfaces,Low Risk
82911,Super Duper,346 Kearny St,San Francisco,CA,94108,,,,,82911_20170927,9/27/17 0:00,88,Routine - Unscheduled,82911_20170927_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,"(37.784848, -122.406892)",,59577_20160502,5/2/16 0:00,72,Routine - Unscheduled,59577_20160502_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20160412,4/12/16 0:00,90,Routine - Unscheduled,33700_20160412_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
5631,AT&T -Room 5331 GILROY GARLIC FRIES/view [145161],24 WILLIE MAYS PLAZA 5.24.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5631_20160814,8/14/16 0:00,94,Routine - Unscheduled,5631_20160814_103118,Employee eating or smoking,Moderate Risk
5633,AT&T - FIELD CLUB CONCESSION [145185],24 WILLIE MAYS PLAZA 1.09.04,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5633_20160814,8/14/16 0:00,94,Routine - Unscheduled,5633_20160814_103120,Moderate risk food holding temperature,Moderate Risk
5624,AT&T - DERBY GRILL Room 5311 [145154],24 WILLIE MAYS PLAZA 5.07.02,San Francisco,CA,94107,37.778382,-122.391151,"(37.778382, -122.391151)",14155971500,5624_20160814,8/14/16 0:00,96,Routine - Unscheduled,5624_20160814_103120,Moderate risk food holding temperature,Moderate Risk
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,"(37.794958, -122.406367)",,3522_20160412,4/12/16 0:00,92,Routine - Unscheduled,3522_20160412_103120,Moderate risk food holding temperature,Moderate Risk
37633,100% Dessert Cafe,2512 Clement St,San Francisco,CA,94121,37.781988,-122.486252,"(37.781988, -122.486252)",,37633_20160519,5/19/16 0:00,72,Routine - Unscheduled,37633_20160519_103114,High risk vermin infestation,High Risk
39667,Peet's Coffee & Tea,595 Market St  Suite #143,San Francisco,CA,94105,37.789437,-122.401111,"(37.789437, -122.401111)",,39667_20160906,9/6/16 0:00,96,Routine - Unscheduled,39667_20160906_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk
67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.399642,"(37.794588, -122.399642)",,67176_20160414,4/14/16 0:00,100,Routine - Unscheduled,,,
88090,Hwaro,4516 Mission St,San Francisco,CA,94112,,,,14155207904,88090_20160728,7/28/16 0:00,,New Construction,,,
33700,Casa Guadalupe #3,2999 MISSION,San Francisco,CA,94110,37.749194,-122.418116,"(37.749194, -122.418116)",14155875145,33700_20141117,11/17/14 0:00,90,Routine - Unscheduled,33700_20141117_103120,Moderate risk food holding temperature,Moderate Risk
59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"(37.786988, -122.434074)",14155929578,59838_20160531,5/31/16 0:00,92,Routine - Unscheduled,59838_20160531_103133,Foods not protected from contamination,Moderate Risk
